ItemID,Type,FloorPlan,Bed,Bath,SQFT,FloorPlanURL,Apartment,RentMin,AvailableDate,PropertyAddress,PropertyPhone,Website,CommunityAmenities,ApartmentAmenities,Specials
3718,Studio,S1,Studio,1,535,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c523ae2d14188.33892582609.jpg&w=350&h=300,1208,"$1,300","Apr 09, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3719,Studio,S1,Studio,1,535,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c523ae2d14188.33892582609.jpg&w=350&h=300,1215,"$1,300","Apr 09, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3720,Studio,S1,Studio,1,535,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c523ae2d14188.33892582609.jpg&w=350&h=300,1487,"$1,282","May 26, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3721,Studio,S1,Studio,1,535,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c523ae2d14188.33892582609.jpg&w=350&h=300,1260,"$1,232","May 28, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3722,Studio,S1,Studio,1,535,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c523ae2d14188.33892582609.jpg&w=350&h=300,1408,"$1,257","Jun 08, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3723,Studio,S2,Studio,1,535,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c523cfd90d440.15474110325.jpg&w=350&h=300,1242,"$1,282","May 05, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3724,Studio,S3,Studio,1,680,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c5240515d0407.11584022821.jpg&w=350&h=300,1444,"$1,592","Jun 09, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3725,Studio,S4,Studio,1,,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c523aa38a7971.35097685706.jpg&w=350&h=300,,,,"4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3726,1 Bedroom,A1,1,1,,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c524281f24ac7.45616324532.jpg&w=350&h=300,,,,"4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3727,1 Bedroom,A2,1,1,,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c525d3eefb9a2.27275570670.jpg&w=350&h=300,,,,"4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3728,1 Bedroom,A2a,1,1,715,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c525cf54d3472.48530449829.jpg&w=350&h=300,1304,"$1,508","Apr 16, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3729,1 Bedroom,A2a,1,1,715,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c525cf54d3472.48530449829.jpg&w=350&h=300,1204,"$1,508","Jun 05, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3730,1 Bedroom,A3,1,1,,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5efcfb661de824.14667379852.jpg&w=100&h=97,,,,"4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3731,1 Bedroom,A4,1,1,745,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c525d7aa93133.94118606959.jpg&w=350&h=300,1130,"$1,349","Apr 09, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3732,1 Bedroom,A4,1,1,745,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c525d7aa93133.94118606959.jpg&w=350&h=300,1464,"$1,349","Apr 09, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
3733,1 Bedroom,A4,1,1,745,https://commoncdn.entrata.com/images/thumbNailer.php?src=/media_library/15077/5c525d7aa93133.94118606959.jpg&w=350&h=300,1469,"$1,349","Apr 19, 2021","4626 N. 16th St. Phoenix, AZ 85016",(480) 874-9074,https://www.theartonhighland.com/,Powered by Alfred resident tech platform ;Electric car charging stations;Dog wash station;Dog Park;Home Delivery from Casual Pint!;Cold Brew Coffee Onsite;Rooftop Patio;Clubhouse with Wi-Fi in Common Areas;Fitness Club;Resort Style Pool and Spa;Resident Clubroom with Seating;Cold Brew Coffee Bar;Flex Fitness Room;Corn Hole Court;Outdoor Spaces with Fireplace and Grills;Elevator Access;24/7 Professional Maintenance,Quartz Countertops;Washers and Dryers*;Gourmet Kitchens with Vintage Inspired Black Appliance Package;Modern Cabinetry with Brushed Nickel Pulls;Contemporary Tile Designer Backsplash;Wood-Style Plank Flooring and Plush Carpeting;Bathrooms with High-Style Designer Tile;Two-story Floor Plans Available;Contemporary Lighting;Spacious closets with shelving;Expansive 9’ and 10’ Ceilings;Personal Balconies or Patios;Furnished Units/Homes Available,$500 off select homes. Call today for more information.
