Property,Submarket,MT Submarket group name,Market
ArLo,Central East Phoenix,MT - Central East Phoenix,Phoenix
Arista at Ocotillo,Chandler,MT - Chandler,Phoenix
Club Cancun,Chandler,MT - Chandler,Phoenix
Mira Santi,Chandler,MT - Chandler,Phoenix
Morrison Chandler,Chandler,MT - Chandler,Phoenix
San Cervantes,Chandler,MT - Chandler,Phoenix
San Hacienda,Chandler,MT - Chandler,Phoenix
San Palacio,Chandler,MT - Chandler,Phoenix
San Palmas,Chandler,MT - Chandler,Phoenix
Stone Oaks,Chandler,MT - Chandler,Phoenix
Waterside at Ocotillo,Chandler,MT - Chandler,Phoenix
Laguna at Arrowhead Ranch,Deer Valley,MT - Deer Valley,Phoenix
San Lagos,Deer Valley,MT - Deer Valley,Phoenix
San Norterra,Deer Valley,MT - Deer Valley,Phoenix
San Prado,Deer Valley,MT - Deer Valley,Phoenix
Domus,East Camelback,MT - East Camelback,Phoenix
Azul at Spectrum,Gilbert,MT - Gilbert,Phoenix
BB Living at Higley Park,Gilbert,MT - Gilbert,Phoenix
BB Living at Val Vista,Gilbert,MT - Gilbert,Phoenix
Borrego at Spectrum,Gilbert,MT - Gilbert,Phoenix
San Privada,Gilbert,MT - Gilbert,Phoenix
San Valencia,Gilbert,MT - Gilbert,Phoenix
"Reserve at Gilbert Towne Centre, The",Gilbert,MT - Gilbert,Phoenix
Bellagio,North Paradise Valley,MT - North Paradise Valley,Phoenix
Park Place at Fountain Hills,North Scottsdale,MT - North Scottsdale,Phoenix
San Artes,North Scottsdale,MT - North Scottsdale,Phoenix
San Portales,North Scottsdale,MT - North Scottsdale,Phoenix
"Halsten at Chauncey Lane, The",North Scottsdale,MT - North Scottsdale,Phoenix
"Regents at Scottsdale, The",North Scottsdale,MT - North Scottsdale,Phoenix
Emerson Mill Avenue,North Tempe,MT - North Tempe,Phoenix
Hudson on Farmer,North Tempe,MT - North Tempe,Phoenix
Lakeside Drive Apartments,North Tempe,MT - North Tempe,Phoenix
San Marbeya,North Tempe,MT - North Tempe,Phoenix
Tempe Metro,North Tempe,MT - North Tempe,Phoenix
"Fleewood, The",North Tempe,MT - North Tempe,Phoenix
"Hyve, The",North Tempe,MT - North Tempe,Phoenix
"Local Tempe, The",North Tempe,MT - North Tempe,Phoenix
"Palms on Scottsdale, The",North Tempe,MT - North Tempe,Phoenix
Villa Vita,Peoria,MT - Peoria,Phoenix
San Posada,South Mesa,MT - South Mesa,Phoenix
San Paseo,South Phoenix,MT - South Phoenix,Phoenix
Carter,South Scottsdale,MT - South Scottsdale,Phoenix
Gramercy Scottsdale,South Scottsdale,MT - South Scottsdale,Phoenix
San Travesia,South Scottsdale,MT - South Scottsdale,Phoenix
Ravenwood Heights,South Tempe,MT - South Tempe,Phoenix
San Capella,South Tempe,MT - South Tempe,Phoenix
San Palmilla,South Tempe,MT - South Tempe,Phoenix
San Sonoma,South Tempe,MT - South Tempe,Phoenix
San Pedregal,Sunnyslope,MT - Sunnyslope,Phoenix
Aviva,Superstition Springs,MT - Superstition Springs,Phoenix
BB Living at Eastmark,Superstition Springs,MT - Superstition Springs,Phoenix
District Lofts,Superstition Springs,MT - Superstition Springs,Phoenix
San Piedra,Superstition Springs,MT - Superstition Springs,Phoenix
San Villante,Superstition Springs,MT - Superstition Springs,Phoenix
Avenue 25,Union Hills,MT - Union Hills,Phoenix
San Milan,Union Hills,MT - Union Hills,Phoenix
Slate Scottsdale,Union Hills,MT - Union Hills,Phoenix
Level at Sixteenth,Uptown,MT - Uptown,Phoenix
"Astor at Osborn, The",Uptown,MT - Uptown,Phoenix
Las Casas at Windrose,Western Suburbs,MT - Western Suburbs,Phoenix
"Maxx 159, The",Western Suburbs,MT - Western Suburbs,Phoenix