MTR Group Name,Linked Submarkets
Southwest Phoenix,Maryvale
Southwest Phoenix,South Phoenix
Southwest Phoenix,Western Suburbs
Northwest Phoenix,Deer Valley
Northwest Phoenix,Glendale
Northwest Phoenix,North Black Canyon
Northwest Phoenix,Peoria
Tempe,North Tempe
Tempe,South Tempe
"Chandler, Gilbert, & Ahwatukee",Chandler
"Chandler, Gilbert, & Ahwatukee",Gilbert
"Chandler, Gilbert, & Ahwatukee",Mountain Park
"Downtown, Midtown, & Uptown",Christown
"Downtown, Midtown, & Uptown",Sky Harbor
"Downtown, Midtown, & Uptown",Uptown
North/Central Phoenix,Metrocenter
North/Central Phoenix,Sunnyslope
North Phoenix & North Scottsdale,North Paradise Valley
North Phoenix & North Scottsdale,North Scottsdale
North Phoenix & North Scottsdale,Union Hills
Cambelback & South Scottsdale,Central East Phoenix
Cambelback & South Scottsdale,East Camelback
Cambelback & South Scottsdale,South Paradise Valley
Cambelback & South Scottsdale,South Scottsdale