Property name,Type
1221 Broadway,Garden Style
7160 Optima Kierland,High-Rise
80 on Gibson,Garden Style
Acero at Estrella Commons,Garden Style
Acero Cooley Station,Garden Style
Adiamo,Garden Style
Adiamo Henderson,Garden Style
Adobe Ridge,Garden Style
Alante at the islands,Garden Style
Aldea at Estrella Falls,Garden Style
Aliante,Garden Style
Allegro At La Entrada,Garden Style
Allure at Tempe,Garden Style
Almeria at Ocotillo,Garden Style
Alta North Central,Mid-Rise
Amiya Palm Valley,Garden Style
Arboretum At South Mountain,Garden Style
Arcadia Cove,Garden Style
Aria on Cave Creek,Garden Style
Arista at Ocotillo,Garden Style
ArLo,Mid-Rise
Arrive at Ocotillo,Garden Style
Arrive North Scottsdale,Garden Style
Arrowhead Ranch By Baron,Garden Style
"Art on Highland, The",Mid-Rise
Artessa,Garden Style
Ascend at Kierland,Garden Style
Ashton Pointe,Garden Style
Aspire at Pinnacle Peak,Garden Style
"Astor at Osborn, The",Mid-Rise
Audere,Mid-Rise
Aura Watermark,Mid-Rise
Avana Coronado,Garden Style
Avana Desert View,Garden Style
Aventura,Garden Style
Avenue 25,Garden Style
Avion on Legacy,Garden Style
Aviva,Garden Style
Azul at Spectrum,Garden Style
Bayside,Garden Style
BB Living at Eastmark,SFR
BB Living at Higley Park,SFR
BB Living at Val Vista,SFR
Bella Mirage,Garden Style
Bella Terra,Garden Style
Bella Victoria,Garden Style
Bellagio,Garden Style
Biltmore at Camelback,Mid-Rise
Biscayne Bay,Garden Style
Borrego at Spectrum,Garden Style
"Boulders at Lone Mountain, The",Garden Style
Brio on Ray,Garden Style
Broadstone Osborn,Mid-Rise
Broadstone Scottsdale Quarter,Mid-Rise
Broadstone Waterfront,Mid-Rise
Cadia Crossing,Garden Style
Cambria,Garden Style
Camden Chandler,Garden Style
Camden Foothills,Garden Style
Camden Legacy,Garden Style
Camden North End,Garden Style
Camden Old Town Scottsdale,Mid-Rise
Camden Tempe,Garden Style
"Cameron, The",Mid-Rise
Cantamar,Garden Style
Cantera,Garden Style
Carlyle at South Mountain,Garden Style
Carter,Mid-Rise
Casitas at San Marcos,SFR
Christopher Todd Communities on Camelback,SFR
Cielo,Garden Style
Cielo Henderson,Garden Style
Circa Central Avenue,Mid-Rise
CIRQ 44,Mid-Rise
Citrine,Mid-Rise
Cityscape At Lakeshore,Garden Style
CityScape Residences,High-Rise
Clarendon Park,Garden Style
Club Cancun,Garden Style
Coldwater Springs,Garden Style
"Cooper 202, The",Garden Style
"Core Chandler, The",Garden Style
Cornerstone Ranch,Garden Style
Cortland Arrowhead Summit,Garden Style
Cortland Mountain Vista,Garden Style
Cortland Red Mountain,Garden Style
Cortland South Mountain,Garden Style
Covington Park,Garden Style
Craft at Gilbert and Baseline,Garden Style
Crystal Springs,Garden Style
"Curve at Melrose, The",Mid-Rise
Del Mar,Garden Style
Desert Club,Garden Style
Desert Harbor,Garden Style
Desert Horizon,Garden Style
Desert Mirage,Garden Style
Desert Parks Vista at DC Ranch,Garden Style
District at Biltmore,Mid-Rise
"District at Chandler, The",Garden Style
"District at Scottsdale, The",Mid-Rise
District Lofts,Garden Style
Dobson 2222,Garden Style
Domus,Mid-Rise
"Edge at Traverse Point, The",Garden Style
Element Deer Valley,Garden Style
Elite North Scottsdale,Garden Style
Elux at Tramonto,SFR
Emerson Mill Avenue,Mid-Rise
Enclave at Arrowhead,Garden Style
Envision,Garden Style
Escape,Garden Style
Estancia,Garden Style
Estates On Maryland,Garden Style
Esteban Park,Garden Style
Evolution at Estrella Falls,Garden Style
Finisterra,Garden Style
Flats at San Tan,Garden Style
"Fleewood, The",Mid-Rise
Galleria Palms,Garden Style
Gila Springs,Garden Style
GlenEagles,Garden Style
Gramercy Scottsdale,Mid-Rise
Green Leaf Arts District,Mid-Rise
Green Leaf on Bell,Garden Style
"Griffin, The",Mid-Rise
"Grove Deer Valley, The",Garden Style
"Halsten at Chauncey Lane, The",High-Rise
Hampton East,SFR
Harlow,Garden Style
Harper,Garden Style
Heritage at Deer Valley,Garden Style
Highland Groves,Garden Style
"Highlands at Spectrum, The",Garden Style
Hudson on Farmer,Mid-Rise
"Hyve, The",Garden Style
Indigo,Garden Style
Indigo Springs,Garden Style
"Ingleside, The",Garden Style
Inspiration at Frank Lloyd Wright,Garden Style
Ironhorse at Tramonto,Garden Style
Keller Town Square,SFR
Kota North Scottsdale,Garden Style
La Borgata,Garden Style
La Estancia,Garden Style
Laguna at Arrowhead Ranch,Garden Style
Lakeside Drive Apartments,Mid-Rise
Las Casas at Windrose,SFR
Lazo,Garden Style
Level at Sixteenth,Mid-Rise
"Lincoln Scottsdale, The",Mid-Rise
Lindsay Palms,Garden Style
"Link PHX, The",High-Rise
Liv Ahwatukee,Garden Style
Liv Avenida,Garden Style
Liv North Scottsdale,Mid-Rise
Liv Northgate,Garden Style
"Local Tempe, The",Mid-Rise
Lumiere Chandler Condominiums,Garden Style
Marquis at Desert Ridge,Garden Style
Maxwell on 66th,Garden Style
"Maxx 159, The",Garden Style
"Met, The",Garden Style
Mira Santi,Garden Style
"Moderne, The",Garden Style
"Montana, The",Garden Style
Monte Viejo,Garden Style
Monterra,Garden Style
Morada West,Garden Style
Morrison Chandler,Garden Style
Mountainside,Garden Style
"Muse, The",Mid-Rise
Nexa,Mid-Rise
Noria,Garden Style
Norte Town Lake,Mid-Rise
Nova North Valley,Garden Style
Oceana,Garden Style
Ocio Plaza Del Rio,Garden Style
Ocotillo Bay,Garden Style
One North Scottsdale,Garden Style
Onnix,Garden Style
Optima Sonoran Village,High-Rise
Ora,Garden Style
"Palladium at Scottsdale Civic Center, The",Garden Style
Palm Valley Villas,SFR
"Palms at Augusta Ranch, The",Garden Style
"Palms on Scottsdale, The",Garden Style
Parc Midtown,Mid-Rise
Park on Bell,Garden Style
Park Place at Fountain Hills,Garden Style
"Pavilions at Arrowhead, The",Garden Style
Peak 16,Mid-Rise
Pinnacle Terrace,Garden Style
"Place at Sonoran Trails, The",Garden Style
"Pointe at South Mountain, The",Garden Style
"Premiere at Dana Park, The",Garden Style
"Premiere at Eastmark, The",Garden Style
Ravenwood Heights,Garden Style
Redstone at San Tan Village,Garden Style
"Regents at Scottsdale, The",Garden Style
Reserve at Arrowhead,Garden Style
"Reserve at Gilbert Towne Centre, The",Garden Style
Residences at 4225,Garden Style
"Residences at Stadium Village, The",Garden Style
Riata,Garden Style
Rio Santa Fe,Garden Style
Sage Stone,Garden Style
SALT,Garden Style
San Artes,Garden Style
San Capella,Garden Style
San Carlos,Garden Style
San Cervantes,Garden Style
San Cierra,Garden Style
San Hacienda,Garden Style
San Lagos,Garden Style
San Marbeya,Garden Style
San Marino,Garden Style
San Melia,Garden Style
San Milan,Garden Style
San Norterra,Garden Style
San Palacio,Garden Style
San Palmas,Garden Style
San Palmilla,Garden Style
San Paseo,Garden Style
San Paulo,Garden Style
San Pedregal,Garden Style
San Piedra,Garden Style
San Portales,Garden Style
San Portella,Garden Style
San Posada,Garden Style
San Prado,Garden Style
San Privada,Garden Style
San Riva at the Foothills,Garden Style
San Sonoma,Garden Style
San Tan by Baron,Garden Style
San Tierra,Garden Style
San Travesia,Garden Style
San Valencia,Garden Style
San Valiente,Garden Style
San Villante,Garden Style
Santa Rosa,Garden Style
Scottsdale Highlands,Garden Style
Scottsdale Highlands,Garden Style
Serafina at South Mountain,Garden Style
Seven,Garden Style
Shade at Desert Ridge,Garden Style
Shadow Hills at Lone Mountain,Garden Style
Sierra Canyon Apartment Homes,Garden Style
Sierra Foothills,Garden Style
Sky at Chandler Airpark,Garden Style
SkySong,Mid-Rise
Skywater at Town Lake,Mid-Rise
Slate Scottsdale,Garden Style
Sonoma Ridge,Garden Style
Sonoran Vista,Garden Style
Sonterra,Garden Style
Stadium Vue Townhomes,Garden Style
"Standard, The",Garden Style
Sterling Point,Garden Style
Stone Oaks,Garden Style
Stonebridge Ranch,Garden Style
Strayhorse,Garden Style
Summerly at Zanjero,Garden Style
Summit at San Marcos,Mid-Rise
Symphony,Garden Style
Tamarron,Garden Style
Tempe Metro,Mid-Rise
Tempe Station,Garden Style
Tempo at McClintock Station,Garden Style
Terra Villa,Garden Style
Tides at Paradise Valley,Garden Style
Tierra Villas at Lone Mountain,Garden Style
"TomScot, The",Mid-Rise
Town Center,Garden Style
Town Commons,Garden Style
Towne Square,Garden Style
"Trails at San Tan, The",Garden Style
"Trend at 51, The",Mid-Rise
Tresa at Arrowhead,Garden Style
Trevi,Garden Style
Trovita Rio,Mid-Rise
"Turn, The",Garden Style
Union Tempe,High-Rise
VELA,Mid-Rise
Vela on Camelback,Mid-Rise
Velaire at Aspera,Garden Style
"Ventura, The",Garden Style
View 32,Garden Style
"View at Cascade, The",Garden Style
Villa Vita,Garden Style
Village at Harvard Crossing,SFR
"Village at West Point, The",Garden Style
Villas on Bell,Garden Style
Villas on Olive,SFR
"Vintage, The",Garden Style
Vista Grove,Garden Style
Vistara at Santan Village,Garden Style
Vitri,Mid-Rise
Vive,Garden Style
Vue Park West,Garden Style
Waterford at Peoria,Garden Style
Watermark at Gateway Place,Garden Style
Waterside at Ocotillo,Garden Style
West 6th,High-Rise
Zone,Garden Style
Zone Luxe,Garden Style